genre,clip_id,split,label_idx
blues,blues.00000,val,0
blues,blues.00001,train,0
blues,blues.00002,train,0
blues,blues.00003,test,0
blues,blues.00004,test,0
blues,blues.00005,train,0
blues,blues.00006,train,0
blues,blues.00007,train,0
blues,blues.00008,train,0
blues,blues.00009,train,0
blues,blues.00010,train,0
blues,blues.00011,test,0
blues,blues.00012,train,0
blues,blues.00013,test,0
blues,blues.00014,test,0
blues,blues.00015,train,0
blues,blues.00016,train,0
blues,blues.00017,test,0
blues,blues.00018,train,0
blues,blues.00019,train,0
blues,blues.00020,train,0
blues,blues.00021,train,0
blues,blues.00022,train,0
blues,blues.00023,train,0
blues,blues.00024,train,0
blues,blues.00025,val,0
blues,blues.00026,train,0
blues,blues.00027,val,0
blues,blues.00028,test,0
blues,blues.00029,val,0
blues,blues.00030,train,0
blues,blues.00031,test,0
blues,blues.00032,train,0
blues,blues.00033,train,0
blues,blues.00034,train,0
blues,blues.00035,test,0
blues,blues.00036,train,0
blues,blues.00037,train,0
blues,blues.00038,train,0
blues,blues.00039,train,0
blues,blues.00040,train,0
blues,blues.00041,train,0
blues,blues.00042,train,0
blues,blues.00043,train,0
blues,blues.00044,train,0
blues,blues.00045,train,0
blues,blues.00046,train,0
blues,blues.00047,train,0
blues,blues.00048,train,0
blues,blues.00049,train,0
blues,blues.00050,train,0
blues,blues.00051,train,0
blues,blues.00052,train,0
blues,blues.00053,val,0
blues,blues.00054,test,0
blues,blues.00055,train,0
blues,blues.00056,train,0
blues,blues.00057,val,0
blues,blues.00058,train,0
blues,blues.00059,train,0
blues,blues.00060,train,0
blues,blues.00061,train,0
blues,blues.00062,train,0
blues,blues.00063,train,0
blues,blues.00064,val,0
blues,blues.00065,train,0
blues,blues.00066,train,0
blues,blues.00067,train,0
blues,blues.00068,train,0
blues,blues.00069,test,0
blues,blues.00070,train,0
blues,blues.00071,val,0
blues,blues.00072,train,0
blues,blues.00073,train,0
blues,blues.00074,train,0
blues,blues.00075,test,0
blues,blues.00076,train,0
blues,blues.00077,val,0
blues,blues.00078,train,0
blues,blues.00079,train,0
blues,blues.00080,train,0
blues,blues.00081,test,0
blues,blues.00082,train,0
blues,blues.00083,train,0
blues,blues.00084,val,0
blues,blues.00085,train,0
blues,blues.00086,test,0
blues,blues.00087,train,0
blues,blues.00088,val,0
blues,blues.00089,val,0
blues,blues.00090,train,0
blues,blues.00091,train,0
blues,blues.00092,train,0
blues,blues.00093,val,0
blues,blues.00094,test,0
blues,blues.00095,val,0
blues,blues.00096,train,0
blues,blues.00097,val,0
blues,blues.00098,train,0
blues,blues.00099,train,0
classical,classical.00000,train,1
classical,classical.00001,train,1
classical,classical.00002,train,1
classical,classical.00003,train,1
classical,classical.00004,train,1
classical,classical.00005,train,1
classical,classical.00006,val,1
classical,classical.00007,train,1
classical,classical.00008,train,1
classical,classical.00009,train,1
classical,classical.00010,train,1
classical,classical.00011,val,1
classical,classical.00012,train,1
classical,classical.00013,train,1
classical,classical.00014,val,1
classical,classical.00015,train,1
classical,classical.00016,train,1
classical,classical.00017,test,1
classical,classical.00018,test,1
classical,classical.00019,val,1
classical,classical.00020,train,1
classical,classical.00021,train,1
classical,classical.00022,train,1
classical,classical.00023,train,1
classical,classical.00024,train,1
classical,classical.00025,train,1
classical,classical.00026,train,1
classical,classical.00027,test,1
classical,classical.00028,val,1
classical,classical.00029,train,1
classical,classical.00030,train,1
classical,classical.00031,test,1
classical,classical.00032,train,1
classical,classical.00033,test,1
classical,classical.00034,train,1
classical,classical.00035,train,1
classical,classical.00036,train,1
classical,classical.00037,train,1
classical,classical.00038,train,1
classical,classical.00039,train,1
classical,classical.00040,test,1
classical,classical.00041,train,1
classical,classical.00042,train,1
classical,classical.00043,train,1
classical,classical.00044,train,1
classical,classical.00045,train,1
classical,classical.00046,val,1
classical,classical.00047,train,1
classical,classical.00048,train,1
classical,classical.00049,train,1
classical,classical.00050,test,1
classical,classical.00051,val,1
classical,classical.00052,train,1
classical,classical.00053,train,1
classical,classical.00054,val,1
classical,classical.00055,train,1
classical,classical.00056,train,1
classical,classical.00057,train,1
classical,classical.00058,test,1
classical,classical.00059,train,1
classical,classical.00060,train,1
classical,classical.00061,train,1
classical,classical.00062,train,1
classical,classical.00063,test,1
classical,classical.00064,train,1
classical,classical.00065,val,1
classical,classical.00066,train,1
classical,classical.00067,train,1
classical,classical.00068,val,1
classical,classical.00069,train,1
